,date,time,open,high,low,close,feature1,feature2,feature3,tick,tick_variation,datetime
5862,2024-02-11,08:30:00,2521.5,2530.3,2521.4,2530.3,1,1,1,78365,0.0004467277268842482,2024-02-11 08:30:00
5863,2024-02-11,08:45:00,2530.1,2531.7,2525.4,2528.3,1,1,1,78357,-0.00010209160177828356,2024-02-11 08:45:00
5864,2024-02-11,09:00:00,2528.3,2530.5,2526.9,2527.6,1,1,1,78354,-3.8287037927982045e-05,2024-02-11 09:00:00
5865,2024-02-11,09:15:00,2527.4,2528.7,2524.2,2524.6,1,1,1,78342,-0.00015316281236869966,2024-02-11 09:15:00
5866,2024-02-11,09:30:00,2524.5,2526.3,2520.9,2522.0,1,1,1,78332,-0.00012765359936653994,2024-02-11 09:30:00
5867,2024-02-11,09:45:00,2521.9,2525.4,2521.9,2525.2,1,1,1,78345,0.00016594650178175196,2024-02-11 09:45:00
5868,2024-02-11,10:00:00,2525.3,2533.8,2524.8,2533.6,1,1,1,78378,0.00042112517610939676,2024-02-11 10:00:00
5869,2024-02-11,10:15:00,2533.5,2537.2,2530.5,2531.3,1,1,1,78369,-0.00011483473380530214,2024-02-11 10:15:00
5870,2024-02-11,10:30:00,2531.4,2531.4,2528.0,2528.4,1,1,1,78357,-0.00015313349442272524,2024-02-11 10:30:00
5871,2024-02-11,10:45:00,2528.5,2528.5,2521.1,2522.3,1,1,1,78333,-0.00030633735640667984,2024-02-11 10:45:00
5872,2024-02-11,11:00:00,2522.2,2526.2,2522.0,2525.0,1,1,1,78344,0.00014041627064687585,2024-02-11 11:00:00
5873,2024-02-11,11:15:00,2524.9,2526.5,2522.6,2524.1,1,1,1,78340,-5.105818080812927e-05,2024-02-11 11:15:00
5874,2024-02-11,11:30:00,2524.2,2524.2,2520.1,2521.1,1,1,1,78328,-0.00015319018591503485,2024-02-11 11:30:00
5875,2024-02-11,11:45:00,2521.0,2523.8,2519.4,2521.0,1,1,1,78328,0.0,2024-02-11 11:45:00
5876,2024-02-11,12:00:00,2521.1,2521.6,2518.2,2520.7,1,1,1,78327,-1.2766908174237986e-05,2024-02-11 12:00:00
5877,2024-02-11,12:15:00,2520.6,2520.6,2515.6,2516.4,1,1,1,78310,-0.00021706238074973362,2024-02-11 12:15:00
5878,2024-02-11,12:30:00,2516.5,2518.2,2514.6,2516.2,1,1,1,78309,-1.2769842739550325e-05,2024-02-11 12:30:00
5879,2024-02-11,12:45:00,2516.1,2519.5,2511.1,2519.5,1,1,1,78322,0.0001659952375948253,2024-02-11 12:45:00
5880,2024-02-11,13:00:00,2519.6,2523.1,2519.4,2520.0,1,1,1,78324,2.5535283379088643e-05,2024-02-11 13:00:00
5881,2024-02-11,13:15:00,2520.1,2526.5,2519.1,2525.7,1,1,1,78347,0.0002936089022885301,2024-02-11 13:15:00
5882,2024-02-11,13:30:00,2525.6,2525.9,2523.3,2523.4,1,1,1,78338,-0.00011488017372300774,2024-02-11 13:30:00
5883,2024-02-11,13:45:00,2523.3,2529.3,2522.3,2529.0,1,1,1,78360,0.0002807949066938733,2024-02-11 13:45:00
5884,2024-02-11,14:00:00,2528.9,2529.9,2525.9,2526.7,1,1,1,78351,-0.0001148611138962508,2024-02-11 14:00:00
5885,2024-02-11,14:15:00,2526.7,2529.1,2525.6,2528.0,1,1,1,78356,6.381335871012061e-05,2024-02-11 14:15:00
5886,2024-02-11,14:30:00,2528.1,2528.3,2521.3,2522.6,1,1,1,78334,-0.00028080924302211716,2024-02-11 14:30:00
5887,2024-02-11,14:45:00,2522.5,2523.9,2520.4,2520.9,1,1,1,78328,-7.65980263616934e-05,2024-02-11 14:45:00
5888,2024-02-11,15:00:00,2520.8,2522.2,2520.5,2521.2,1,1,1,78329,1.2766745182374556e-05,2024-02-11 15:00:00
5889,2024-02-11,15:15:00,2521.1,2521.3,2511.0,2514.2,2,2,1,78301,-0.00035753048966687893,2024-02-11 15:15:00
5890,2024-02-11,15:30:00,2514.2,2517.5,2513.1,2514.7,1,1,1,78303,2.5542131747697997e-05,2024-02-11 15:30:00
5891,2024-02-11,15:45:00,2514.7,2515.3,2508.5,2508.9,2,2,1,78280,-0.0002937739111578082,2024-02-11 15:45:00
5892,2024-02-11,16:00:00,2509.2,2512.1,2503.8,2506.0,1,1,1,78268,-0.00015330761202319757,2024-02-11 16:00:00
5893,2024-02-11,16:15:00,2506.1,2510.5,2504.6,2508.4,1,1,1,78278,0.00012775797546534504,2024-02-11 16:15:00
5894,2024-02-11,16:30:00,2508.3,2509.8,2504.9,2508.0,1,1,1,78276,-2.555028935842784e-05,2024-02-11 16:30:00
